Rank,Player
1,Victor Wembanyama
2,Shai Gilgeous-Alexander
3,Nikola Jokić
4,Luka Dončić
5,Jayson Tatum
6,Cade Cunningham
7,LaMelo Ball
8,Tyrese Haliburton
9,Anthony Edwards
10,Chet Holmgren
11,Jalen Williams
12,Giannis Antetokounmpo
13,Trae Young
14,Scottie Barnes
15,Tyrese Maxey
16,Evan Mobley
17,Amen Thompson
18,Karl-Anthony Towns
19,Alperen Şengün
20,Jalen Johnson
21,Devin Booker
22,Jaren Jackson Jr.
23,Domantas Sabonis
24,Anthony Davis
25,Franz Wagner
26,Donovan Mitchell
27,De'Aaron Fox
28,Paolo Banchero
29,Darius Garland
30,Jalen Brunson
31,Desmond Bane
32,Jamal Murray
33,Brandon Miller
34,Bam Adebayo
35,Damian Lillard
36,Kevin Durant
37,Ja Morant
38,Kyrie Irving
39,Tyler Herro
40,Trey Murphy III
41,Jaylen Brown
42,Stephen Curry
43,James Harden
44,Dyson Daniels
45,Zion Williamson
46,Myles Turner
47,Jordan Poole
48,Mark Williams
49,Lauri Markkanen
50,Alexandre Sarr
51,Jarrett Allen
52,Zach LaVine
53,Kristaps Porziņģis
54,Jalen Suggs
55,Pascal Siakam
56,Joel Embiid
57,Scoot Henderson
58,Immanuel Quickley
59,Walker Kessler
60,Derrick White
61,Brandon Ingram
62,Austin Reaves
63,Ausar Thompson
64,Dereck Lively II
65,Isaiah Hartenstein
66,Fred VanVleet
67,Bilal Coulibaly
68,Jalen Duren
69,Tari Eason
70,OG Anunoby
71,Reed Sheppard
72,Onyeka Okongwu
73,Dejounte Murray
74,Jalen Green
75,Mikal Bridges
76,Coby White
77,Kel'el Ware
78,Devin Vassell
79,Malik Monk
80,Donovan Clingan
81,Zach Edey
82,Naz Reid
83,Ivica Zubac
84,Josh Hart
85,Miles Bridges
86,LeBron James
87,Deni Avdija
88,Nic Claxton
89,Josh Giddey
90,Stephon Castle
91,Anfernee Simons
92,Paul George
93,Cam Thomas
94,Jakob Pöltl
95,Keegan Murray
96,Michael Porter Jr.
97,Jabari Smith Jr.
98,DeMar DeRozan
99,Deandre Ayton
100,Jimmy Butler
101,Shaedon Sharpe
102,Daniel Gafford
103,RJ Barrett
104,Rob Dillingham
105,Matas Buzelis
106,Rudy Gobert
107,Cameron Johnson
108,Jared McCain
109,Jeremy Sochan
110,Julius Randle
111,Kawhi Leonard
112,Jaden McDaniels
113,John Collins
114,Norman Powell
115,Nikola Vučević
116,Brandin Podziemski
117,Jonathan Kuminga
118,Toumani Camara
119,Nikola Topić
120,Keyonte George
121,Christian Braun
122,Santi Aldama
123,Carlton Carrington
124,Jaden Ivey
125,P.J. Washington
126,Bradley Beal
127,Herbert Jones
128,Collin Sexton
129,Nikola Jović
130,Cason Wallace
131,CJ McCollum
132,Yves Missi
133,Zaccharie Risacher
134,Payton Pritchard
135,Taylor Hendricks
136,Bennedict Mathurin
137,Isaiah Collier
138,Gradey Dick
139,Andrew Wiggins
140,Anthony Black
141,Donte DiVincenzo
142,Ayo Dosunmu
143,De'Andre Hunter
144,D'Angelo Russell
145,Jaime Jaquez Jr.
146,Andrew Nembhard
147,Devin Carter
148,Jrue Holiday
149,Kyle Kuzma
150,Kyle Filipowski
151,Peyton Watson
152,Ronald Holland II
153,Goga Bitadze
154,Jerami Grant
155,Keon Ellis
156,Tobias Harris
157,Jarace Walker
158,Noah Clowney
159,Tyus Jones
160,Cam Whitmore
161,Jaylen Wells
162,Rui Hachimura
163,Aaron Gordon
164,Max Christie
165,Dalton Knecht
166,Brook Lopez
167,Vince Williams Jr.
168,Draymond Green
169,Ryan Dunn
170,Wendell Carter Jr.
171,GG Jackson
172,Aaron Nesmith
173,Mitchell Robinson
174,Kelly Oubre Jr.
175,Trayce Jackson-Davis
176,Miles McBride
177,Clint Capela
178,Lonzo Ball
179,Scotty Pippen Jr.
180,Kyshawn George
181,Tre Mann
182,Guerschon Yabusele
183,Jordan Hawkins
184,Khris Middleton
185,Tidjane Salaün
186,Luguentz Dort
187,Alex Caruso
188,Tristan da Silva
189,Malik Beasley
190,Russell Westbrook
191,Dennis Schröder
192,Bobby Portis Jr. 
193,Nick Richards
194,Jonathan Isaac
195,Ty Jerome
196,Robert Williams III
197,Grayson Allen
198,Day'Ron Sharpe
199,Caris LeVert
200,Jalen Smith
201,Moses Moody
202,Max Strus
203,Buddy Hield
204,Cole Anthony
205,Jonathan Mogbo
206,Terry Rozier
207,Patrick Williams
208,Bogdan Bogdanović
209,Keldon Johnson
210,Bol Bol
211,Ben Simmons
212,DaRon Holmes II
213,Klay Thompson
214,Marcus Smart
215,Brice Sensabaugh
216,Isaiah Stewart
217,Jonas Valančiūnas
218,Vít Krejčí
219,Jusuf Nurkić
220,Ajay Mitchell
221,Obi Toppin
222,Jake LaRavia
223,Julian Strawther
224,Corey Kispert
225,Cody Williams
226,Chris Paul
227,Jaylon Tyson
228,De'Anthony Melton
229,Julian Champagnie
230,Dillon Brooks
231,Jose Alvarado
232,T.J. McConnell
233,Quentin Grimes
234,Jordan Clarkson
235,Kobe Bufkin
236,Bruce Brown Jr.
237,Jaxson Hayes
238,Oso Ighodaro
239,Aaron Wiggins
240,Moussa Diabaté
241,Nickeil Alexander-Walker
242,Kevin Huerter
243,Ochai Agbaji
244,Kris Dunn
245,Isaiah Joe
246,Karlo Matković
247,Caleb Martin
248,Kentavious Caldwell-Pope
249,Brandon Clarke
250,Ziaire Williams
251,Gary Trent Jr.
252,Precious Achiuwa
253,Tre Jones
254,Royce O'Neale
255,Naji Marshall
256,Jay Huff
257,Brandon Boston Jr.
258,Leonard Miller
259,Isaiah Jackson
260,Josh Green
261,Jamal Shead
262,Quinten Post
263,Derrick Jones Jr.
264,Malcolm Brogdon
265,Grant Williams
266,Justin Champagnie
267,Jalen Wilson
268,Duncan Robinson
269,Davion Mitchell
270,Sam Hauser
271,Moritz Wagner
272,Keon Johnson
273,Mike Conley
274,Kevin Porter Jr. 
275,Kelly Olynyk
276,Saddiq Bey
277,Luke Kennard
278,Terrence Shannon Jr.
279,Tyler Kolek
280,Zach Collins
281,Jaden Hardy
282,Dillon Jones
283,Jarred Vanderbilt
284,Harrison Barnes
285,Dorian Finney-Smith
286,Craig Porter Jr.
287,Tristan Vukčević
288,Terance Mann
289,Mouhamed Gueye
290,Tim Hardaway Jr.
291,Baylor Scheierman
292,Johnny Furphy
293,Ben Sheppard
294,Andre Jackson Jr.
295,Ja'Kobe Walter
296,Isaac Okoro
297,Josh Minott
298,Marcus Sasser
299,AJ Green
300,Luke Kornet
