Rank,Player
1,Victor Wembanyama
2,Luka Dončić
3,Shai Gilgeous-Alexander
4,Nikola Jokić
5,Giannis Antetokounmpo
6,Jayson Tatum
7,Cade Cunningham
8,Tyrese Haliburton
9,Chet Holmgren
10,LaMelo Ball
11,Anthony Edwards
12,Scottie Barnes
13,Paolo Banchero
14,Jalen Johnson
15,Karl-Anthony Towns
16,Trae Young
17,Evan Mobley
18,Jalen Williams
19,Tyrese Maxey
20,Anthony Davis
21,Alperen Şengün
22,Devin Booker
23,Jaren Jackson Jr.
24,Domantas Sabonis
25,Amen Thompson
26,Franz Wagner
27,De'Aaron Fox
28,Donovan Mitchell
29,Darius Garland
30,Ja Morant
31,Jalen Brunson
32,Bam Adebayo
33,Zion Williamson
34,Brandon Miller
35,Tyler Herro
36,Jamal Murray
37,Jaylen Brown
38,Damian Lillard
39,Desmond Bane
40,Kyrie Irving
41,Fred VanVleet
42,James Harden
43,Kevin Durant
44,Dejounte Murray
45,Stephen Curry
46,RJ Barrett
47,Pascal Siakam
48,Trey Murphy III
49,Jarrett Allen
50,Walker Kessler
51,Myles Turner
52,Lauri Markkanen
53,Josh Giddey
54,Jordan Poole
55,Dyson Daniels
56,Scoot Henderson
57,Immanuel Quickley
58,Joel Embiid
59,Alexandre Sarr
60,Mark Williams
61,Dereck Lively II
62,Jalen Duren
63,Jalen Green
64,Kristaps Porziņģis
65,Austin Reaves
66,Ivica Zubac
67,Onyeka Okongwu
68,Nic Claxton
69,Isaiah Hartenstein
70,Jalen Suggs
71,Donovan Clingan
72,Zach LaVine
73,Brandon Ingram
74,LeBron James
75,Paul George
76,Bilal Coulibaly
77,OG Anunoby
78,Kel'el Ware
79,Coby White
80,Josh Hart
81,Nikola Vučević
82,Devin Vassell
83,Derrick White
84,Ausar Thompson
85,Tari Eason
86,Rudy Gobert
87,Jakob Pöltl
88,Deandre Ayton
89,Jeremy Sochan
90,Anfernee Simons
91,Julius Randle
92,Miles Bridges
93,Reed Sheppard
94,Zach Edey
95,Mikal Bridges
96,Malik Monk
97,Jimmy Butler
98,Shaedon Sharpe
99,Jonathan Kuminga
100,Deni Avdija
101,Keegan Murray
102,Keyonte George
103,Naz Reid
104,Stephon Castle
105,DeMar DeRozan
106,Jabari Smith Jr.
107,Kawhi Leonard
108,Michael Porter Jr.
109,Cameron Johnson
110,Christian Braun
111,Cam Thomas
112,Matas Buzelis
113,Brandin Podziemski
114,Jaden Ivey
115,Taylor Hendricks
116,Jaden McDaniels
117,Jared McCain
118,P.J. Washington
119,Nikola Jović
120,Yves Missi
121,Daniel Gafford
122,Rob Dillingham
123,Collin Sexton
124,Donte DiVincenzo
125,Ronald Holland II
126,Herbert Jones
127,Zaccharie Risacher
128,Carlton Carrington
129,John Collins
130,Norman Powell
131,Toumani Camara
132,Bennedict Mathurin
133,Nikola Topić
134,Bradley Beal
135,Kyle Kuzma
136,Cason Wallace
137,Keon Ellis
138,Noah Clowney
139,CJ McCollum
140,Andrew Wiggins
141,D'Angelo Russell
142,Cam Whitmore
143,Tobias Harris
144,Gradey Dick
145,Max Christie
146,Jrue Holiday
147,Peyton Watson
148,Ayo Dosunmu
149,De'Andre Hunter
150,Jerami Grant
151,Santi Aldama
152,Payton Pritchard
153,Jarace Walker
154,Devin Carter
155,Andrew Nembhard
156,Isaiah Collier
157,Jaime Jaquez Jr.
158,Khris Middleton
159,Rui Hachimura
160,Kyle Filipowski
161,Ben Simmons
162,Goga Bitadze
163,Anthony Black
164,Wendell Carter Jr.
165,Aaron Nesmith
166,Lonzo Ball
167,Jaylen Wells
168,Clint Capela
169,Caris LeVert
170,Kyshawn George
171,Moses Moody
172,Draymond Green
173,Alex Caruso
174,Ryan Dunn
175,Luguentz Dort
176,Mitchell Robinson
177,Aaron Gordon
178,Isaiah Stewart
179,Trayce Jackson-Davis
180,Jalen Smith
181,Jonathan Isaac
182,Day'Ron Sharpe
183,Cole Anthony
184,Miles McBride
185,Russell Westbrook
186,Jaxson Hayes
187,Kelly Oubre Jr.
188,Bol Bol
189,Dalton Knecht
190,Robert Williams III
191,Tyus Jones
192,Tidjane Salaün
193,Keldon Johnson
194,Marcus Smart
195,Julian Strawther
196,Vince Williams Jr.
197,Nick Richards
198,Guerschon Yabusele
199,Tre Mann
200,Brook Lopez
201,Grayson Allen
202,GG Jackson
203,Karlo Matković
204,Kevin Huerter
205,Corey Kispert
206,Dennis Schröder
207,Patrick Williams
208,Tristan da Silva
209,Terry Rozier
210,De'Anthony Melton
211,DaRon Holmes II
212,Max Strus
213,Buddy Hield
214,Scotty Pippen Jr.
215,Bogdan Bogdanović
216,Obi Toppin
217,Cody Williams
218,Malik Beasley
219,Brice Sensabaugh
220,Tre Jones
221,Jonathan Mogbo
222,Jonas Valančiūnas
223,Jordan Hawkins
224,Quinten Post
225,Jose Alvarado
226,Kris Dunn
227,Vít Krejčí
228,Jusuf Nurkić
229,Josh Green
230,Jaden Hardy
231,Jake LaRavia
232,Moussa Diabaté
233,Kobe Bufkin
234,Bruce Brown Jr.
235,Isaiah Joe
236,Chris Paul
237,Brandon Clarke
238,Bobby Portis Jr. 
239,Jay Huff
240,Davion Mitchell
241,Quentin Grimes
242,Jordan Clarkson
243,Leonard Miller
244,Ty Jerome
245,Jaylon Tyson
246,Nickeil Alexander-Walker
247,Jamal Shead
248,Precious Achiuwa
249,Klay Thompson
250,Gary Trent Jr.
251,Kevin Porter Jr. 
252,Julian Champagnie
253,Tristan Vukčević
254,Duncan Robinson
255,Isaiah Jackson
256,Caleb Martin
257,Terance Mann
258,Ziaire Williams
259,Kelly Olynyk
260,T.J. McConnell
261,Malcolm Brogdon
262,Justin Champagnie
263,Tyler Smith
264,Dillon Brooks
265,Andre Drummond
266,Saddiq Bey
267,Royce O'Neale
268,Keon Johnson
269,Dillon Jones
270,Neemias Queta
